Eugene Chiang,2014,Distinguished Teaching Award
Munis Faruqui,2014,Distinguished Teaching Award
Ron Hassner,2014,Distinguished Teaching Award
Ula Taylor,2013,Distinguished Teaching Award
Terry Johnson,2013,Distinguished Teaching Award
Timothy Hampton,2013,Distinguished Teaching Award
Darcy Grimaldo Grigsby,2013,Distinguished Teaching Award
Rauri Bowie,2013,Distinguished Teaching Award
David Sklansky,2012,Distinguished Teaching Award
Joanna Picciotto,2012,Distinguished Teaching Award
Edward Miguel,2012,Distinguished Teaching Award
Sally Goldman,2012,Distinguished Teaching Award
Debarati Sanyal,2012,Distinguished Teaching Award
Kent Puckett,2011,Distinguished Teaching Award
Phillip Geissler,2011,Distinguished Teaching Award
Robin Einhorn,2011,Distinguished Teaching Award
Dan Klein,2010,Distinguished Teaching Award
Juan Pestana-Nascimento,2010,Distinguished Teaching Award
Line Mikkelsen,2010,Distinguished Teaching Award
Teck-Hua Ho,2010,Distinguished Teaching Award
Andrew Stewart,2009,Distinguished Teaching Award
Goodwin Liu,2009,Distinguished Teaching Award
Matthew B. Francis,2009,Distinguished Teaching Award
Max Auffhammer,2009,Distinguished Teaching Award
Mitchell Robert Breitwieser,2009,Distinguished Teaching Award
Kaja Silverman,2008,Distinguished Teaching Award
Karl Britto,2008,Distinguished Teaching Award
Nezar Alsayyad,2008,Distinguished Teaching Award
Stefano Dellavigna,2008,Distinguished Teaching Award
Andrew Garrett,2007,Distinguished Teaching Award
Eileen Lacey,2007,Distinguished Teaching Award
Kathleen Mccarthy,2007,Distinguished Teaching Award
Steven Goldsmith,2007,Distinguished Teaching Award
Ananya Roy,2006,Distinguished Teaching Award
Ani Adhikari,2006,Distinguished Teaching Award
David Wagner,2006,Distinguished Teaching Award
Kevis Goodman,2005,Distinguished Teaching Award
F. Michael Christ,2004,Distinguished Teaching Award
H. Mack Horton,2004,Distinguished Teaching Award
Hubert Dreyfus,2004,Distinguished Teaching Award
Linda Williams,2004,Distinguished Teaching Award
Bob Jacobsen,2004,Distinguished Teaching Award
Glynda Hull,2003,Distinguished Teaching Award
Jeffrey A. Reimer,2003,Distinguished Teaching Award
Martha L. Olney,2003,Distinguished Teaching Award
Jeffrey Knapp,2002,Distinguished Teaching Award
Leslie Kurke,2002,Distinguished Teaching Award
Stephen Welter,2002,Distinguished Teaching Award
Tyrone Hayes,2002,Distinguished Teaching Award
Usha Rani Jain,2002,Distinguished Teaching Award
Carolyn Bertozzi,2001,Distinguished Teaching Award
Ron Gronsky,2001,Distinguished Teaching Award
Sara Beckman,2001,Distinguished Teaching Award
Seda Chavdarian,2001,Distinguished Teaching Award
Claire Kramsch,2000,Distinguished Teaching Award
Eleanor Swift,2000,Distinguished Teaching Award
Nilabh Shastri,2000,Distinguished Teaching Award
Anil K. Chopra,1999,Distinguished Teaching Award
John R. Searle,1999,Distinguished Teaching Award
Oliver M. O Reilly,1999,Distinguished Teaching Award
Richard A. Muller,1999,Distinguished Teaching Award
Ann Haas Dyson,1998,Distinguished Teaching Award
Donald Friedman,1998,Distinguished Teaching Award
Jesse Choper,1998,Distinguished Teaching Award
Patricia Jane Hammons,1998,Distinguished Teaching Award
Richard Lyons,1998,Distinguished Teaching Award
Chenming Hu,1997,Distinguished Teaching Award
Deborah Nolan,1997,Distinguished Teaching Award
Elizabeth Abel,1997,Distinguished Teaching Award
Jasper Rine,1997,Distinguished Teaching Award
Pedro A. Noguera,1997,Distinguished Teaching Award
Robert J. Full,1996,Distinguished Teaching Award
Robert Middlekauff,1996,Distinguished Teaching Award
Kameshwar Poolla,1996,Distinguished Teaching Award
Lewis J. Feldman,1996,Distinguished Teaching Award
Rhona S. Weinstein,1996,Distinguished Teaching Award
Andrew Packard,1995,Distinguished Teaching Award
Brian K. Harvey,1995,Distinguished Teaching Award
Gary L. Firestone,1995,Distinguished Teaching Award
Rachel F. Moran,1995,Distinguished Teaching Award
Vincent H. Resh,1995,Distinguished Teaching Award
Alan Dundes,1994,Distinguished Teaching Award
Christina D. Romer,1994,Distinguished Teaching Award
Clayton J. Radke,1994,Distinguished Teaching Award
Kathleen Moran,1994,Distinguished Teaching Award
Geoffrey Keppel,1993,Distinguished Teaching Award
Harry W. Greene,1993,Distinguished Teaching Award
Julian Boyd,1993,Distinguished Teaching Award
William A. Fletcher,1993,Distinguished Teaching Award
Arnold Schultz,1992,Distinguished Teaching Award
David M. Modest,1992,Distinguished Teaching Award
Dennis Lieu,1992,Distinguished Teaching Award
Randy H. Katz,1992,Distinguished Teaching Award
Richard J. Saykally,1992,Distinguished Teaching Award
Alex V. Filippenko,1991,Distinguished Teaching Award
Angelica Stacy,1991,Distinguished Teaching Award
Barbara T. Christian,1991,Distinguished Teaching Award
James L. Patton,1991,Distinguished Teaching Award
Joe Mc Bride,1991,Distinguished Teaching Award
Michael Watts,1991,Distinguished Teaching Award
Arnold Leiman,1990,Distinguished Teaching Award
Frances Sunni Bloland,1990,Distinguished Teaching Award
Melvin A. Eisenberg,1990,Distinguished Teaching Award
Michael Omi,1990,Distinguished Teaching Award
Ole H. Hald,1990,Distinguished Teaching Award
Susan Schweik,1989,Distinguished Teaching Award
Anthony Newcomb,1989,Distinguished Teaching Award
Earl F. Cheit,1989,Distinguished Teaching Award
Raymond B. Seed,1989,Distinguished Teaching Award
Eyvind Wichmann,1988,Distinguished Teaching Award
J. Keith Gilless,1988,Distinguished Teaching Award
J. W. Morris,1988,Distinguished Teaching Award
Michael Williams,1988,Distinguished Teaching Award
Terry Wilson,1988,Distinguished Teaching Award
Christina Maslach,1987,Distinguished Teaching Award
David K. C. Wood,1987,Distinguished Teaching Award
Erich Gruen,1987,Distinguished Teaching Award
Marc Treib,1987,Distinguished Teaching Award
Robert Berring,1987,Distinguished Teaching Award
Janet Adelman,1986,Distinguished Teaching Award
Mark Griffith,1986,Distinguished Teaching Award
Richard M. Karp,1986,Distinguished Teaching Award
Svetlana Alpers,1986,Distinguished Teaching Award
Alexander Pines,1986,Distinguished Teaching Award
Donald Hanson,1986,Distinguished Teaching Award
Arthur Quinn,1985,Distinguished Teaching Award
