Eugene Chiang,2014
Munis Faruqui,2014
Ron Hassner,2014
Ula Taylor,2013
Terry Johnson,2013
Timothy Hampton,2013
Darcy Grimaldo Grigsby,2013
Rauri Bowie,2013
David Sklansky,2012
Joanna Picciotto,2012
Edward Miguel,2012
Sally Goldman,2012
Debarati Sanyal,2012
Kent Puckett,2011
Phillip Geissler,2011
Robin Einhorn,2011
Dan Klein,2010
Juan Pestana-Nascimento,2010
Line Mikkelsen,2010
Teck-Hua Ho,2010
Andrew Stewart,2009
Goodwin Liu,2009
Matthew B. Francis,2009
Max Auffhammer,2009
Mitchell Robert Breitwieser,2009
Kaja Silverman,2008
Karl Britto,2008
Nezar Alsayyad,2008
Stefano Dellavigna,2008
Andrew Garrett,2007
Eileen Lacey,2007
Kathleen Mccarthy,2007
Steven Goldsmith,2007
Ananya Roy,2006
Ani Adhikari,2006
David Wagner,2006
Kevis Goodman,2005
F. Michael Christ,2004
H. Mack Horton,2004
Hubert Dreyfus,2004
Linda Williams,2004
Bob Jacobsen,2004
Glynda Hull,2003
Jeffrey A. Reimer,2003
Martha L. Olney,2003
Jeffrey Knapp,2002
Leslie Kurke,2002
Stephen Welter,2002
Tyrone Hayes,2002
Usha Rani Jain,2002
Carolyn Bertozzi,2001
Ron Gronsky,2001
Sara Beckman,2001
Seda Chavdarian,2001
Claire Kramsch,2000
Eleanor Swift,2000
Nilabh Shastri,2000
Anil K. Chopra,1999
John R. Searle,1999
Oliver M. O Reilly,1999
Richard A. Muller,1999
Ann Haas Dyson,1998
Donald Friedman,1998
Jesse Choper,1998
Patricia Jane Hammons,1998
Richard Lyons,1998
Chenming Hu,1997
Deborah Nolan,1997
Elizabeth Abel,1997
Jasper Rine,1997
Pedro A. Noguera,1997
Robert J. Full,1996
Robert Middlekauff,1996
Kameshwar Poolla,1996
Lewis J. Feldman,1996
Rhona S. Weinstein,1996
Andrew Packard,1995
Brian K. Harvey,1995
Gary L. Firestone,1995
Rachel F. Moran,1995
Vincent H. Resh,1995
Alan Dundes,1994
Christina D. Romer,1994
Clayton J. Radke,1994
Kathleen Moran,1994
Geoffrey Keppel,1993
Harry W. Greene,1993
Julian Boyd,1993
William A. Fletcher,1993
Arnold Schultz,1992
David M. Modest,1992
Dennis Lieu,1992
Randy H. Katz,1992
Richard J. Saykally,1992
Alex V. Filippenko,1991
Angelica Stacy,1991
Barbara T. Christian,1991
James L. Patton,1991
Joe Mc Bride,1991
Michael Watts,1991
Arnold Leiman,1990
Frances Sunni Bloland,1990
Melvin A. Eisenberg,1990
Michael Omi,1990
Ole H. Hald,1990
Susan Schweik,1989
Anthony Newcomb,1989
Earl F. Cheit,1989
Raymond B. Seed,1989
Eyvind Wichmann,1988
J. Keith Gilless,1988
J. W. Morris,1988
Michael Williams,1988
Terry Wilson,1988
Christina Maslach,1987
David K. C. Wood,1987
Erich Gruen,1987
Marc Treib,1987
Robert Berring,1987
Alexander Pines,1986
Janet Adelman,1986
Mark Griffith,1986
Richard M. Karp,1986
Svetlana Alpers,1986
Alexander Pines,1986
Donald Hanson,1986
Arthur Quinn,1985
