AEROSPC1A,Found Us Air Force,Christopher M. Carroll
AEROSPC2A,Evolut Of Air Power,Christopher M. Carroll
AFRICAMR1A,Fresh Composition,Aparajita Nanda
AFRICAMR1B,Freshmn Composition,Aparajita Nanda
AFRICAM4A,Africa:  Hist & Cul,G. Ugo NWOKEJ
AFRICAM5A,Afam Life & Cul U S,Brandi N. Catanese
AFRICAM27AC,Lives/Strug/Maj Cul,Michael M. Cohen
AFRICAM30A,Elementary Chichewa,Sam A Mchombo
AFRICAM31A,Intermed Chichewa,Sam A Mchombo
AFRICAM100,Black Intllctl Thgh,Leigh Raiford
AFRICAM111,Race Class Gen U S,Stephen A Small
AFRICAM114,Ling Strtr Bnt Lang,Sam A Mchombo
AFRICAM116,Slavery And African,Ula Yvette Taylor
AFRICAM123,Social & Political,Stephen A Small
AFRICAM134,Info Tech And Soc,Michel S Laguerre
AFRICAMC134,Info Tech And Soc,Michel S Laguerre
AFRICAM139,Sel Top:Africam Soc,Nikki Jones
AFRICAM159,Spec Top Afam Lit,Aya De Leon
AFRICAM159,Spec Top Afam Lit,Chiyuma Elliott
AMERSTD10,Intro American Stdy,Christine Palmer
AMERSTD10,Intro American Stdy,Justin Gomer
AMERSTD101,Us Cultures In Time: Play,Christine Palmer
AMERSTD101,Us Cultures In Time,Mark Brilliant
AMERSTD101,Us Cultures In Time,Kathleen S Moran
AMERSTD102,Us Cultures/Place,Justin Gomer
AMERSTDC111E,Topics In Amer Stud,Donald Anthony Mcquade
AMERSTDC134,Info Tech And Soc,Michel S Laguerre
AMERSTDC152,Native American Lit,Beth Piatote
AMERSTDC171,Amer Dsgn Land 1850,Louise A Mozingo
ANTHRO1,Intro To Bio Anthro,Lisa A. Maher
ANTHRO2AC,Intro Archaeology,Kent G Lightfoot
ANTHRO3AC,Intro Soc/Cult Ac,James Holston
ANTHROR5B,Reading & Comp,Corinne P Hayden
ANTHROR5B,Reading & Comp,Corinne P Hayden
ANTHROR5B,Reading & Comp,Corinne P Hayden
ANTHROR5B,Reading & Comp,Corinne P Hayden
ANTHRO107,Evol Hum Brain,Terrence W. Deacon
ANTHRO114,Hist/Anthro Thought,Charles Kendal Hirschkind
ANTHRO115,Intro Med Anthro,Nancy Scheper-Hughes
ANTHRO121C,Hist Artifact/Analy,Laurie A Wilkie
ANTHRO122A,Archaeol No Amer,Jun U. Sunseri
ANTHROC125A,Arch East Asia,Junko Habu
ANTHRO127A,Skltl Bio & Bioarch,Sabrina C Agarwal
ANTHRO135,Paleoethnobotany,Christine Hastorf
ANTHRO136F,Cult Heritage Media,Rosemary Joyce
ANTHRO136G,Cultural Policy,Rosemary Joyce
ANTHRO138A,Ethnog Film History,Daniel T. Fisher
ANTHRO141,Comparative Society,Aihwa Ong
ANTHRO150,Utopia: Art & Power,Alexei Yurchak
ANTHRO155,Modernity,Paul M Rabinow
ANTHRO157,Anthropology Of Law,Laura Nader
ANTHRO169C,Ling Anthr Method,William F Hanks
ANTHRO189,Spec Top:Soc/Cult,Xin Liu
ANTHRO189,Spec Top:Soc/Cult,Karen Nakamura
ARABIC100A,Advanced Arabic,Haitham S. Mohamed
ARABIC100A,Advanced Arabic,Elsa Elmahdy
ARABIC108,Islam & Phil Texts,John L Hayes
ARABIC111A,Survey Of Arab Lit,Ahmad Diab
ARCH11A,Intro Vis Rep Draw,Darell W Fields
ARCH100A,Fund Of Arch Design,Lisa M. Iwamoto
ARCH110AC,Soc/Cult Bas Dsgn,Galen L Cranz
ARCH130,Intr Arch Des Th/Cr,C Greig Crysler
ARCH150,Intro To Structures,R.Gary Black
ARMENI101A,Continuing Armenian,Hasmig Seropian
ART8,Intro Vis Thinking,John S Mcnamara
ART12,Lang Of Draw,Craig K Nagasawa
ART13,Lang Of Painting,John S Mcnamara
ART14,Lang Of Sculpture,Randy M Hussong
ART15,Lang Sculp:Ceram,Erik Scollon
ART16,Intro Printmaking,Randy M Hussong
ART21,Digital Photography,Allan Desouza
ART102,Approaches To Ptng,Katherine D Sherwood
ART102,Approaches To Ptng,Michael J Hall
ART117,Drawing Composition,Craig K Nagasawa
ART119,Gpca,Jenifer K. Wofford
ART120,App To Prntmg Intag,Randy M Hussong
ART132,App To Sculp Ceram,Stacy Jo Scott
ART163,Social Practice,Stephanie Syjuco
ART164,Art And Meditation,Azin Seraj
ART164,Art And Meditation,Katherine D Sherwood
ART171,Digital Video,Nathan Kwame Braun
ART173,Sound Art,Christopher S. Kubick
ART185,Sn Projects,Indira M. Morre
ASAMSTR2A,Reading&Composition,Anna P Leong
ASAMSTR2A,Reading&Composition,Anna P Leong
ASAMSTR2B,Reading&Composition,Anna P Leong
ASAMSTR2B,Reading&Composition,Anna P Leong
ASAMST20A,Intro Asian Am Hist,Christopher V. Chua
ASAMST121,Chinese Amer Hist,Harvey C Dong
ASAMST122,Japanese Amer Hist,Lisa Hirai Tsuchitani
ASAMST124,Filipino Amer Hist,Catherine Ceniza Choy
ASAMST125,Issues Of Se Asians,Khatharya Um
ASAMST128AC,Muslims In America,Hatem Ahmad Bazian
ASAMST138,Topics Asn Pop Cult,Hannah B Michell
ASAMST141,Law In Asam Commun,Thomas M Fleming
ASAMST165,Res Method Asian,Khatharya Um
ASAMST172,Asian Amer Lit,Fae M. Ng
ASIANST10,Intro To Asia,Crystal Chang Cohen
ASIANST150,Special Topics,Keiko Yamanaka
ASTRON7A,Intro Astrophysics,Mariska T. Kriek
ASTRONC10,General Astronomy,Alexei V Filippenko
ASTRONC13,Origins Big Bang,Charles Marshall
ASTRONC13,Origins Big Bang,Eliot Quataert
ASTRON160,Stellar Physics,Eliot Quataert
ASTRONC162,Planetary Astrophys,Imke De Pater
BIOENG10,Intro/Biomed Engin,Terry D Johnson
BIOENG100,Ethics In Sci &,Michael Yartsev
BIOENG102,Biomech Anal & Dsgn,Mohammad Mofrad
BIOENG103,Engineering Molecul,Teresa Head-Gordon
BIOENG114,Cell Engineering,Irina M Conboy
BIOENG115,Cell Bio For Eng,Hayley J. Lam
BIOENGC119,Orthop Biomech,Tony M Keaveny
BIOENG121L,Biomems Bionano Lab,Dorian Liepmann
BIOENG124,Basic Prin Drug,Niren Murthy
BIOENGC125,Intro To Robotics,Sosale Shankar Sastry
BIOENGC125,Intro To Robotics,Ruzena Bajcsy
BIOENG131,Intro To Comp Mcb,Ian H. Holmes
BIOENG147,Prin Of Syn Bio,Adam P Arkin
BIOENG148,Bio Chem Syn Bio,John Eugene Dueber
BIOENG150,Intro To Bio & Bion,Seung-Wuk Lee
BIOENG163,Prin Of Molec & Cel,Gerard Marriott
BIOENGC165,Med Img Sig & S,Steven Conolly
BIOENG192,Sr Design Project,Amy E. Herr
BIOLOGY1A,General Biology Lec,Anastasios Melis
BIOLOGY1A,General Biology Lec,Matthew D Welch
BIOLOGY1A,General Biology Lec,Robert L Fischer
BIOLOGY1A,General Biology Lec,Michael Ray Meighan
BIOLOGY1AL,General Biology Lab,Michael Ray Meighan
BIOLOGY1AL,General Biology Lab,Gian Garriga
BIOLOGY1B,General Biology,Robert Dudley
BIOLOGY1B,General Biology,David D. Ackerly
BIOLOGY1B,General Biology,Ellen L Simms
BOSCRSR27A,Intro Bos/Croa/Serb,Ronelle Alexander
BOSCRSR117A,Con Bosn/Croat/Serb,Ronelle Alexander
BUDDSTDC50,Intro To Buddhism,Robert H. Sharf
BUDDSTDC114,Tibetan Buddhism,Jann M Ronis
BUDDSTDC120,Buddhsm-Silk Road,Sanjyot Mehendale
BUDDSTD150,Buddhist Art S Asia,Brian Baumann
BURMESE1A,Intro Burmese,Kenneth Wong
BURMESE1A,Intro Burmese,Kenneth Wong
CATALAN102,Catalan Readings,Ana Belen Redondo Campillos
CELTICR1B,Voices/Celtic World,Dara Hellman
CELTICR1B,Voices/Celtic World,Thomas Walsh
CELTIC16,Intro Modern Welsh,Kathryn A Klar
CELTIC70,World Of The Celts,Daniel F Melia
CELTIC128,Med Celtic Culture,Dara Hellman
CELTIC138,Irish Literature,Thomas Walsh
CELTIC145A,Intermediate Irish,Edward Stack
CHEM1A,General Chemistry,Martin Head-Gordon
CHEM1A,General Chemistry,Teresa Head-Gordon
CHEM1A,General Chemistry,Martin Head-Gordon
CHEM1A,General Chemistry,Angelica M Stacy
CHEM1AL,General Chem Lab,Michelle Douskey
CHEM1AL,General Chem Lab,Michelle Douskey
CHEM1AL,General Chem Lab,Michelle Douskey
CHEM3A,Chem Struct React,Steven F Pedersen
CHEM3A,Chem Struct React,Steven F Pedersen
CHEM3AL,Organic Chem Lab,Maryann T. Robak
CHEM3AL,Organic Chem Lab,Maryann T. Robak
CHEM3B,Chem Struct React,Peter C. Marsden
CHEM3B,Chem Struct React,Peter C. Marsden
CHEM3BL,Organic Chem Lab,Ming Ming Chen Hammond
CHEM3BL,Organic Chem Lab,Ming Ming Chen Hammond
CHEM4A,Gen Chm Quant Analy,Ke Xu
CHEM4A,Gen Chm Quant Analy,Tanja Cuk
CHEM15,Bio/Analytical Chem,Daniel M Neumark
CHEM103,Inorg Chem Bio,Christopher Chang
CHEM104A,Adv Inorganic Chem,T Don Tilley
CHEM108,Inorganic Synthesis,Richard A Andersen
CHEMC110L,Biochem & Molbi,Isabelle Le Blanc
CHEMC110L,Biochem & Molbi,Andreas Martin
CHEM112A,Organic Chemistry,Anne M. Baranger
CHEM113,Adv Mech Organ Chem,Felix Raoul Fischer
CHEM115,Organic Chemistry,Dean Toste
CHEM120A,Physical Chemistry,Eric William Neuscamman
CHEM120B,Physical Chemistry,Phillip Lewis Geissler
CHEM125,Phys Chem Lab,Stephen R. Leone
CHEMC130,Biophysical Chem,David F Savage
CHEMC130,Biophysical Chem,John Kuriyan
CHEM135,Chemical Biology,Evan W Miller
CHEM143,Nuclear Chemistry,Luciano G Moretto
CHEMC178,Polymer Sci & Tech,Susan J Muller
CHEM195,Special Topics,Marcin M Majda
CHICANO20,Intro Chicano Cult,Raul Coronado
CHICANO130,Mex Chic Art Hist,Celia H Rodriguez
CHICANO135A,Latino Film To 1980,Raymond Telles
CHICANO180,Topics In Chic Stud,Celia H Rodriguez
CHINESE1A,Elementary Chinese,Chen-hui Tsai
