Garcia,Dan,CS3 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,1,0,3,11,27,46
Barsky,Brian,CS39J Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,2,4,2,4
Rowe,Lawrence A.,CS61A Fall 2002,Rate the overall teaching effectiveness of this instructor,0,1,10,25,56,39,6
Hilfinger,Paul,CS61B Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,3,0,20,18,14
Garcia,Dan,CS61C Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,2,17,47,62
Patterson,David A.,CS61C Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,4,13,52,56
Rao,Satish,CS70 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,1,3,5,7,11,2
Wawrzynek,John,CS150 Fall 2002,Rate the overall teaching effectiveness of this instructor,2,12,8,18,40,45,5
Katz,Randy H.,CS152 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,3,4,3,2
Mankoff,Jennifer,CS160 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,1,1,4,8,15,4
Smith,Alan J.,CS162 Fall 2002,Rate the overall teaching effectiveness of this instructor,1,5,6,12,12,5,1
Fateman,Richard J.,CS164 Fall 2002,Rate the overall teaching effectiveness of this instructor,1,0,2,6,9,2,2
Aiken,Alexander,CS169 Fall 2002,Rate the overall teaching effectiveness of this instructor,2,1,0,4,13,23,10
Henzinger,Thomas A.,CS170 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,1,13,17,19,16
Morris,B.,CS172 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,1,0,4,2,6,3
Karp,Richard M.,CS174 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,1,1,5,17,13
Sequin,Carlo H.,CS184 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,1,0,3,11,26,40
Franklin,Michael,CS186 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,1,1,8,14,20,5
Russell,Stuart,CS188 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,1,2,11,6,28,7
Harvey,Brian K.,CS195 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,1,1,5,2
Wagner,David,CS261 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,0,4,11,6
Brewer,Eric,CS262A Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,2,0,13,19
Necula,George,CS263 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,1,3,6,4
Simon,H.,CS267 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,1,6,9,0
Trevisan,Luca,CS278 Fall 2002,Rate the overall teaching effectiveness of this instructor,1,2,4,4,1,4,2
Horn,Berthold,CS280 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,0,0,3,3
Jordan,Michael,CS281A Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,2,3,8,19,22
Malik,Jitendra,CS293B Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,1,1,5,6
Berlekamp,Elwyn R.,CS294 Fall 2002 Section 11,Rate the overall teaching effectiveness of this instructor,0,0,2,0,3,2,2
Back,Maribeth,CS294 Fall 2002 Section 12,Rate the overall teaching effectiveness of this instructor,0,0,0,1,2,3,1
Sinclair,Alistair,CS294 Fall 2002 Section 2,Rate the overall teaching effectiveness of this instructor,0,0,0,0,3,10,6
Forsyth,David,CS294 Fall 2002 Section 3,Rate the overall teaching effectiveness of this instructor,0,0,0,0,2,5,3
O'brien,James,CS294 Fall 2002 Section 3,Rate the overall teaching effectiveness of this instructor,2,0,1,1,4,1,1
Vazirani,Umesh,CS294 Fall 2002 Section 4,Rate the overall teaching effectiveness of this instructor,0,0,0,0,3,7,0
Tygar,Doug,CS294 Fall 2002 Section 5,Rate the overall teaching effectiveness of this instructor,0,0,2,4,4,4,4
Arcadias,Laurence,CS294 Fall 2002 Section 7,Rate the overall teaching effectiveness of this instructor,0,0,2,2,4,3,4
Barsky,Brian,CS294 Fall 2002 Section 7,Rate the overall teaching effectiveness of this instructor,0,0,3,5,6,4,2
Clancy,Michael J.,CS301 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,2,0,4,6,7,3
White,Richard M.,EE1 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,7,3,2,3,3,1
Lee,Edward A.,EE20N Fall 2002,Rate the overall teaching effectiveness of this instructor,0,1,2,4,29,53,81
Bokor,Jeffrey,EE24 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,1,4,5,0
Ross,Sheila,EE40 Fall 2002,Rate the overall teaching effectiveness of this instructor,6,11,10,22,23,41,23
Oldham,William G.,EE42 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,7,16,18,20,10,2
Poolla,Kameshwar,EE100 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,1,3,3,17,33,28
Spanos,Costas J.,EE105 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,2,3,12,8,4
Gustafson,Ture K.,EE117 Fall 2002,Rate the overall teaching effectiveness of this instructor,2,4,2,6,0,2,1
Kahn,Joseph M.,EE120 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,1,3,6,30,48,13
Lai,K.,EE122 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,1,4,9,7,11,3
Stoica,Ion,EE122 Fall 2002,Rate the overall teaching effectiveness of this instructor,1,2,7,9,9,4,5
Ramchandran,Kannan,EE123 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,2,3,15,21,4
Tendick,Frank,EE125 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,2,2,10,2
Anantharam,Venkat,EE126 Fall 2002,Rate the overall teaching effectiveness of this instructor,1,0,2,1,9,9,3
Messerschmitt,David G.,EE126 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,4,5,5,8,3
Tse,David,EE126 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,2,2,9,12
Hsu,Ping,EE128 Fall 2002,Rate the overall teaching effectiveness of this instructor,1,0,1,4,3,5,2
Subramanian,Vivek,EE130 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,1,4,17,22
Brodersen,Robert W.,EE140 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,1,1,7,10,14
Nikolic,Borivoje,EE141 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,1,1,3,8,10,1
Meyer,Robert G.,EE142 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,2,3,7,15
Cheung,Nathan W.,EE143 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,1,4,2,9,10,2
Derenzo,Stephen E.,EE145L Fall 2002,Rate the overall teaching effectiveness of this instructor,1,0,0,4,4,4,3
Smith,John Stephen,EE210 Fall 2002,Rate the overall teaching effectiveness of this instructor,1,2,1,2,4,2,1
Sahai,Anant,EE226A Fall 2002,Rate the overall teaching effectiveness of this instructor,1,2,3,4,7,2,0
Walrand,Jean,EE228A Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,1,2,3,3,2
Chang-Hasnain,Constance,EE233 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,0,1,0,2
Bokor,Jeffrey,EE236A Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,0,5,5,2
Meyer,Robert G.,EE242 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,1,3,10,6
Keutzer,Kurt,EE244 Fall 2002,Rate the overall teaching effectiveness of this instructor,1,0,1,0,5,6,1
Orshansky,M.,EE244 Fall 2002,Rate the overall teaching effectiveness of this instructor,1,0,0,3,7,2,1
Pister,Kristofer,EE245 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,4,2,6,11,14,8
Boser,Bernhard,EE247 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,2,2,3,6,3
Sangiovanni-Vincentelli,Alberto L.,EE249 Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,1,0,2,6,4
Tse,David,EE290S Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,1,1,1,6,10
El Ghaoui,Laurent,EE221A Fall 2002,Rate the overall teaching effectiveness of this instructor,0,0,1,3,2,11,3
Clancy,Michael J.,CS3 Summer 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,0,1,6,10
Meinz,Kurt,CS61A Summer 2002,Rate the overall teaching effectiveness of this instructor,1,1,8,14,17,23,8
Raghavan,Barath,CS61B Summer 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,3,2,16,8
Swan,Andrew,CS61C Summer 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,3,10,15,16
Wawrzynek,John,CS150 Spring 2002,Rate the overall teaching effectiveness of this instructor,2,1,1,6,9,15,3
Brodersen,Robert W.,CS152 Spring 2002,Rate the overall teaching effectiveness of this instructor,0,1,1,1,2,2,2
Landay,James A.,CS160 Spring 2002,Rate the overall teaching effectiveness of this instructor,0,1,0,2,8,14,13
Joseph,Anthony D.,CS162 Spring 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,2,9,39,38
Necula,George,CS164 Spring 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,9,25,36,15
Keutzer,Kurt,CS169 Spring 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,0,6,6,3
Rao,Satish,CS170 Spring 2002,Rate the overall teaching effectiveness of this instructor,3,3,6,14,31,29,18
Sinclair,Alistair,CS172 Spring 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,1,1,17,11
Jordan,Michael,CS174 Spring 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,0,7,16,12
Feldman,Jerome A.,CS182 Spring 2002,Rate the overall teaching effectiveness of this instructor,2,1,2,7,10,8,1
Barsky,Brian,CS184 Spring 2002,Rate the overall teaching effectiveness of this instructor,0,0,4,15,21,8,0
Venkataraman,Shivakumar,CS186 Spring 2002,Rate the overall teaching effectiveness of this instructor,3,13,16,8,7,6,1
Russell,Stuart,CS188 Spring 2002,Rate the overall teaching effectiveness of this instructor,0,1,4,7,11,13,7
Culler,David E.,CS252 Spring 2002,Rate the overall teaching effectiveness of this instructor,1,1,2,2,6,7,1
Canny,John,CS260 Spring 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,1,2,7,2
Franklin,Michael,CS262B Spring 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,0,2,3,3
Keeton,Kimberly,CS262B Spring 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,0,2,6,0
Aiken,Alexander,CS264 Spring 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,0,0,4,5
Smith,Alan J.,CS266 Spring 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,1,1,2,0
Stoica,Ion,CS268 Spring 2002,Rate the overall teaching effectiveness of this instructor,0,0,0,1,6,10,5
Trevisan,Luca,CS276 Spring 2002,Rate the overall teaching effectiveness of this instructor,0,1,0,2,4,0,1
Wagner,David,CS276 Spring 2002,Rate the overall teaching effectiveness of this instructor,0,1,0,0,0,3,2
Forsyth,David,CS280 Spring 2002,Rate the overall teaching effectiveness of this instructor,0,0,1,2,0,10,6
