CS3,Introduction to Symbolic Programming
CS39J,Freshman/Sophomore Seminar
CS61A,The Structure and Interpretation of Computer Programs
CS61B,Data Structures
CS61C,Great Ideas in Computer Architecture
CS70,Discrete Mathematics and Probability Theory
CS150,Components and Design Techniques for Digital Systems
CS152,Computer Architecture and Engineering
CS160,User Interface Design and Development
CS162,Operating Systems and System Programming
CS164,Programming Languages and Compilers
CS169,Software Engineering
CS170,Efficient Algorithms and Intractable Problems
CS172,Computability and Complexity
CS174,Combinatorics and Discrete Probability
CS184,Foundations of Computer Graphics
CS186,Introduction to Database Systems
CS188,Introduction to Artificial Intelligence
CS195,Social Implications of Computer Technology
CS261,Security in Computer Systems
CS262A,Advanced Topics in Computer Systems
CS263,Design of Programming Languages
CS267,Applications of Parallel Computers
CS278,Computational Complexity
CS280,Computer Vision
CS281A,Statistical Learning Theory
CS293B,Vision B: Quantitative, Perceptual, and Physiological Aspects
CS301,Teaching Techniques for Computer Science
EE1,EECS - The FirstCourse
EE20N,Structure and Interpretation of Systems and Signals
EE24,Freshman Seminar
EE40,Introduction to Microelectronic Circuits
EE42,Introduction to Digital Electronics
EE100,Electronic Techniques for Engineering
EE105,Microelectronic Devices and Circuits
EE117,Electromagnetic Fields and Waves
EE120,Signals and Systems
EE122,Introduction to Communication Networks
EE123,Digital Signal Processing
EE125,Introduction to Robotics
EE126,Probability and Random Processes
EE128,Feedback Control
EE130,Integrated-Circuit Devices
EE140,Linear Integrated Circuits
EE141,Introduction to Digital Integrated Circuits
EE142,Integrated Circuits for Communications
EE143,Microfabrication Technology
EE145L,Introductory Electronic Transducers Laboratory
EE210,Applied Electromagnetic Theory
EE226A,Random Processes in Systems
EE228A,High Speed Communications Networks
EE233,Lightwave Systems
EE236A,Quantum and Optical Electronics
EE242,Advanced Integrated Circuits for Communications
EE244,Computer-Aided Design of Integrated Circuits
EE245,Introduction to MEMS Design
EE247,Analysis and Design of VLSI Analog-Digital Interface Integrated Circuits
EE249,Embedded System Design: Models, Validation, and Synthesis
EE290S,Advanced Topics in Communications and Information Theory
EE221A,Linear System Theory
CS182,The Neural Basis of Thought and Language
CS252,Graduate Computer Architecture
CS260,User-Interfaces to COmputer Systems
CS262B,Advanced Topics in Computer Systems
CS264,Implementation of Programming Languages
CS266,Introduction to System Performance Analysis
CS268,Computer Analysis
CS276,Cryptography
CS282,Algebraic Algorithms
CS285,Solid Free-Form Modeling and Fabrication
CS287,Advanced Robotics
CS288,Artificial Intelligence Approach to Natural Language Processing
CS302,Designing Computer Science Education
EE118,Introduction to Optical Communication Systems and Networks
EE119,Introduction to Optical Engineering
EE121,Introduction to Digital Communication Systems
EE129,Neural and Nonlinear Information Processing
EE133,Microfabrication Equipment Laboratory
EE145B,Image Processing and Reconstruction Tomography
EE145M,Introductory Microcomputer Interfacing Laboratory
EE192,Mechatronic Design Laboratory
EE213,Soft X-rays and Extreme Ultraviolet Radiation
EE219B,Logic Synthesis for Hardware Systems
EE220,Nonlinear Circuits
EE222,Nonlinear Systems--Analysis, Stability, and Control
EE224A,Digital Communication
EE225A,Digital Signal Processing
EE230,Solid State Electronics
EE231,Solid State Devices
EE240,Advanced Analog Integrated Circuits
EE241,Advanced Digital Integrated Circuits
EE243,Advanced IC Processing and Layout
EE246,Microelectromechanical Systems (MEMS)
EE290G,Advanced Topics in Semiconductor Manufacturing
EE290N,Advanced Topics in System Theory
EE290O,Advanced Topics in Control
EE290T,Advanced Topics in Signal Processing
EE291E,Hybrid Systems and Intelligent Control
EE227A,Introduction to Convex Optimization
EE290F,Advanced Topics
EE290Q,Advanced Topics in Networking
CS270,Combinatorial Algorithms and Data Structures
CS271,Randomness and Computation
CS289,Knowledge Representation and Reasoning
EE113,Power Electronics
EE225B,Digital Image Processing
EE225D,Audio Signal Processing
EE229,Information Theory and Coding
EE232,Lightwave Devices
EE239,Partially Ionized Plasmas
EE290A,Advanced Topics in Computer-Aided Design
EE290D,Advanced Topics in Semiconductor Technology
EE290E,Advanced Topics in Electromagnetics and Plasmas
CS196H,Honors Seminar for Computer Science Majors
CS273,Foundations of Parallel Computation
CS279,System Support for Scientific Computation
CS281B,Advanced Topics in Learning and Decision Making
CS286,Implementation of Data Base Systems
CS39I,Freshman/Sophomore Seminar
CS284,Computer-Aided Geometric Design and Modeling
CS39A,Introduction to Computer Animation
CS39H,CS39H Internet Media
EE225C,VLSI Signal Processing
EE131,Semiconductor Electronics
EE219,Circuit Theory and Computer-Aided Analysis
CS265,Compiler Optimization and Code Generation
CS274,Computational Geometry
EE219C,Computer-Aided Verification
CS250,VLSI Systems Design
CS262,Advanced Topics in Operating Systems
EE43,Introductory Electronics Laboratory
EE146,Dynamic Networks in Biology
EE201,Strategic Computing and Communications Technology
EE223,Stochastic Systems: Estimation and Control
EE290H,Advanced Topics in Semiconductor Manufacturing
CS258,Parallel Processors
EE104,Linear and Nonlinear Circuits
EE117A,Electromagnetic Fields and Waves-I
EE120L,Signals and Systems Laboratory
EE210A,Introduction to X-Ray Physics and Technology
EE219A,Computer-Aided Verification of Electronic Circuits and Systems
CS281,Machine Learning
CS98,Directed Group Study
CS198,Directed Group Studies for Advanced Undergraduates
CS254,Topics in VLSI Chip Design and Implementation
EE43A,Introductory Electronics Lab
EE43B,Introductory Electronics Lab
EE117B,Electromagnetic Fields and Waves-II
EE135,Microwave, Optics and Plasma Laboratory
EE136,Introduction to Quantum and Optical Electronics
EE226B,Applications of Stochastic Process Theory
EE290C,Advanced Topics in Circuit Design
CS277,Concrete Complexity
EE238,Superconductive Devices and Circuits
EE145A,Sensors, Actuators, and Electrodes
EE236B,Quantum and Optical Electronics
EE290J,Image Processing
CS292J,Advanced Topics in Distributed Computing Systems
EE290Y,
EE290W,
EE291D,
EE290B,
EE114,
EE210B,
EE290P,
EE291,
CS2,
CS60C,
CS253,
CS60A,
CS60B,
CS275,
EE191B,
EE215,
EE290I,
CS292G,
EE217,
EE239A,
EE290R,
EE290V,
EE40I,
EE191A,How Things Work
EE235,Nanoscale Fabrication
EE239B,Partially Ionized Plasmas
EE227B,Convex Optimization
EE216,Antennas and Propagation
EE291C,Control and Optimization of Distributed Parameters
CS189,Introduction to Machine Learning
EE144,Fundamental Algorithms for System Modeling, Analysis, and Optimization
EE147,Introduction to Microelectromechanical Systems
CS257,Advanced Computer Architecture
CS259,Fault Tolerant Systems
EE290X,Strategic Computing and Communications Technology
CS39K,Information Technology
CS293C,Perceptual Organization
CS191,Quantum Information Science and Technology
EE224B,Fundamentals of Wireless Communication
CS4,Introduction to Computing for Engineers
CS61BL,Data Structures (Lab Based)
CS194,Special Topics
EE229B,Error Control Coding
EE229A,Information Theory and Coding
CS3L,Introduction to Symbolic Programming (Lab Based)
EE291F,Control and Optimization of Distributed Parameters
EE298A,The Entrepreneurial Business of Software
CS61CL,Machine Structures (Lab Based)
CS84,Interactive Choreography in 3D Tele-Immersive Spaces
CS161,Computer Security
EE124,Spectrum Analysis Lab
EE127,Optimization Models and Applications
EE149,Introduction to Embedded Systems
EE127A,Optimization Models and Applications
CS10,The Beauty and Joy of Computing
CS283,Advanced Computer Graphics Algorithms and Techniques
CS39P,Photographing History in the Making
EE225E,Principles of Magnetic Resonance Imaging
EE235C,Nanoscale Fabrication
EE246C,Microelectromechanical Systems
EE219D,System Identification
CS261N,Internet and Network Security
EE134,Fundamentals of Photovoltaic Devices
CSH195,Honors Social Implications of Computer Technology
CS289A,Introduction to Machine Learning
CS39R,
EE137B,
EE240A,
CSC149,
CS176,
CS249A,
CS24,
CS284A,
CS286A,
CS375,
EE230A,
EE230C,
EE240C,
EE241A,
EE242A,
EE247A,
EEC249A,
EE375,
CSC219D,
EE227C,
EE20,
EE218,
EE230B,
EE241B,
EEC247B,
CS168,
CS286B,
CS39S,
EE218A,
EE242B,
EE84,
EE16A,Designing Information Devices and Systems I
EE240B,
EE247B,
EE249B,
CS61AS,
EE151,
EE16B,Designing Information Devices and Systems II
